customer_id,name,segment,city,state
C00001,Mr. Christopher Watkins,Regular,New Shawn,Connecticut
C00002,Dr. Derek Miller,Regular,Brendamouth,Michigan
C00003,Mary Michael,Regular,Holtmouth,Michigan
C00004,William Herrera,Budget,North Rachel,Wyoming
C00005,Brian Porter,Regular,Lake Pam,Massachusetts
C00006,Lauren Wood,Regular,Bakerton,Illinois
C00007,Mary James,Regular,New Ashley,Missouri
C00008,Jacob Edwards,Regular,Nelsonview,Virginia
C00009,Ashley Williams,Budget,New Lindastad,Nebraska
C00010,Angela Patel,Regular,North Kimberly,Tennessee
C00011,Rebecca Bartlett,Regular,Port Thomasfort,Maine
C00012,Jennifer Hudson,Regular,Lake Johnville,Nebraska
C00013,Kimberly Flores,Regular,Gilbertville,New York
C00014,Jennifer Rodriguez,Regular,Bryanstad,Utah
C00015,Mark Hudson,Regular,East Lisaside,Utah
C00016,Lisa Ware,Regular,Kevinbury,Wyoming
C00017,Steven Cortez,Budget,Franklinburgh,Maryland
C00018,James Wheeler,Regular,West Elizabeth,North Dakota
C00019,Jessica Howell,Regular,Port Thomas,West Virginia
C00020,Jennifer Fuller,Budget,Onealshire,Arkansas
C00021,Julia Ashley,Budget,Munozview,Iowa
C00022,Stacy Gay,Regular,Parkerchester,California
C00023,Gabriella Morris,Budget,Humphreyland,Ohio
C00024,Elizabeth Davis,Budget,West Crystalchester,Louisiana
C00025,Donald Hurley,Regular,Tylerberg,Wyoming
C00026,Jessica Camacho,Regular,Jeremyview,Ohio
C00027,Gina Floyd,Regular,Wellshaven,Hawaii
C00028,Juan Fleming,Budget,Kennethtown,Washington
C00029,Sheila Austin,Budget,East Raymond,New Jersey
C00030,Erik Stevens,Regular,West Matthew,Colorado
C00031,Adrienne Thomas,Regular,Johnsonfort,New Hampshire
C00032,Anna Thompson,Regular,Ramirezburgh,Louisiana
C00033,Jeffrey Wallace,Regular,East Lindachester,New Jersey
C00034,Lisa Wilson,Budget,Mcfarlandfort,Arizona
C00035,Jimmy King,Budget,Lake Henryborough,Georgia
C00036,Edward James,Regular,East Ryanshire,Rhode Island
C00037,Scott Vasquez,Budget,South Jenniferton,Iowa
C00038,Brett Smith,Regular,South Davidshire,Oklahoma
C00039,Cynthia Joyce,Regular,West Carolineberg,Florida
C00040,Eduardo Holder,Regular,West Madeline,Illinois
C00041,Kristie Mckinney,Regular,South Alberthaven,Indiana
C00042,David Webb,Premium,Harringtonstad,New Hampshire
C00043,Stephen Gonzalez,Regular,West Cherylhaven,Nebraska
C00044,Brenda Rodriguez,Premium,Thomasside,Missouri
C00045,Randall Rice,Regular,Mariastad,Wisconsin
C00046,Justin Sanford,Budget,Scottland,Minnesota
C00047,Lisa Jones,Regular,New Christopher,Utah
C00048,Andrew Dixon,Regular,East Susan,Oregon
C00049,Lauren Price,Premium,South Dawn,Alabama
C00050,Michael Turner,Regular,West Brenda,Tennessee
C00051,John Harrison,Premium,Port Melanie,Kentucky
C00052,Walter Fox,Budget,Barnesville,New Jersey
C00053,Christine Macias,Regular,Joseton,Michigan
C00054,Matthew Hill,Regular,East Cynthialand,Mississippi
C00055,Deborah Myers,Regular,Millerchester,New Hampshire
C00056,Kathleen Ellis,Regular,New Kelli,Hawaii
